Method,Implant,fsim,pieapp,content,srsim,vsi,mdsi
Canny,1 Utah,"(0.49850196748971937, 0.006133130993539689)","(1.052036796102766, 0.09077504255745665)","(6.303249725103378, 0.1250579608755069)","(0.43399102449417115, 0.00405493181318631)","(0.22085007399320603, 0.0028119439219898004)","(0.4092834670841694, 0.0016850931993268293)"
Canny,4 Utah,"(0.5254212340712547, 0.007373288822464028)","(1.5481687170664373, 0.11192476360045768)","(5.845802962183952, 0.13131853223261944)","(0.4801664271950722, 0.004807861557577779)","(0.2594532802700996, 0.003676916667027521)","(0.3720432436466217, 0.0012446481098083216)"
Canny,Neuralink,"(0.5003661385178566, 0.007221275196656855)","(2.631303533392493, 0.11766392502988846)","(6.349653116464615, 0.12434462864933425)","(0.4213725534081459, 0.004763138736359854)","(0.2440452092885971, 0.0032641803817264102)","(0.38068521007895467, 0.0011157332264899707)"
Canny,Uniform 1024,"(0.45684531569480896, 0.006108042673625632)","(4.698116269744933, 0.1348384452364676)","(4.853641841411591, 0.07359738522943918)","(0.3556329706311226, 0.0037210007767909496)","(0.22963659584522247, 0.002618928649668354)","(0.4072203858196735, 0.001405866494914055)"
Canny,Utah RFs,"(0.5298553535342216, 0.0076606104222798)","(1.710812002774328, 0.12136282571506282)","(4.875611875057221, 0.13257067868180103)","(0.48546943694353106, 0.004957285124705661)","(0.2605000519752502, 0.003765039661992414)","(0.3644872151315212, 0.0011466127546013451)"
DoG,1 Utah,"(0.5056068283319474, 0.006264440215336205)","(1.3359123442159033, 0.08036853202060247)","(6.091773860454559, 0.13541703786796835)","(0.44255665600299837, 0.0038047838120003835)","(0.2236867904663086, 0.003181900745090668)","(0.41917568922042847, 0.0018627641319243907)"
DoG,4 Utah,"(0.5271352979540825, 0.007297156125408215)","(2.2090209172666073, 0.09844028237432811)","(8.035085294246674, 0.12260711326991762)","(0.48343993335962293, 0.004307433256163986)","(0.2629199510812759, 0.0034526769240768892)","(0.40289838418364526, 0.0014926028009092714)"
DoG,Neuralink,"(0.5242941656708717, 0.006518359816574436)","(3.9472409215569497, 0.09202280004315187)","(9.653146593570709, 0.12997254725562343)","(0.4746884116530418, 0.003500389377916626)","(0.2763365894556046, 0.002643064546420648)","(0.4757886342704296, 0.002584027643806908)"
DoG,Uniform 1024,"(0.5536943340301513, 0.0024500255390482585)","(6.986001702547074, 0.09363233663630297)","(6.327801440954208, 0.12028685232794893)","(0.449436608850956, 0.0026353084460548778)","(0.2962892034649849, 0.0016328101026070777)","(0.5718134005367755, 0.0032864888358183774)"
DoG,Utah RFs,"(0.5295939233899116, 0.007507343181380637)","(3.1327341340109705, 0.10344659789948736)","(6.521144021749496, 0.1371998475377081)","(0.4887784281373024, 0.0046389488949742765)","(0.26546596974134445, 0.0035838723422341795)","(0.38842019900679586, 0.0012832762715462797)"
Grayscale,1 Utah,"(0.5066850274801254, 0.006250600442277137)","(1.2408550021832343, 0.08749387429019259)","(6.246010091304779, 0.136862610980715)","(0.44347486972808836, 0.0037611337702852243)","(0.22367525935173035, 0.0031221159138012846)","(0.4208467122912407, 0.0020153022107636492)"
Grayscale,4 Utah,"(0.5265628585219383, 0.007335704839386322)","(2.1073802240937947, 0.10243457287197136)","(7.706202193498611, 0.12465008088466262)","(0.48235348671674727, 0.0044747265917850386)","(0.2621749207377434, 0.003518849857406141)","(0.3982710340619087, 0.0013675858087719604)"
Grayscale,Neuralink,"(0.5205407270789146, 0.006598171802535969)","(3.5580571095272897, 0.1029359145657837)","(9.664436726570129, 0.13653126982787844)","(0.4670154938101769, 0.0037207812929062243)","(0.2694199270009994, 0.0028189986781664293)","(0.4696452857553959, 0.002622226726764743)"
Grayscale,Uniform 1024,"(0.5430490803718567, 0.003647420458643524)","(6.539442182183266, 0.11191365923405484)","(6.650828133821488, 0.13641444041067377)","(0.4418496885895729, 0.0031796848727119343)","(0.2848984116315842, 0.0021955185392183918)","(0.5591074404120445, 0.003570604338670519)"
Grayscale,Utah RFs,"(0.5292247560620308, 0.007517946128005201)","(2.9588467651233077, 0.11102029058968954)","(6.33884882569313, 0.13497308672035652)","(0.48828559726476667, 0.004694089152497009)","(0.2643899232149124, 0.0036254992289196414)","(0.38514482095837593, 0.001219341224208835)"
Random,1 Utah,"(0.5037576657533646, 0.006195155031748949)","(1.3056950078904628, 0.08119570692850087)","(6.085380078554153, 0.13832210207905757)","(0.44040231585502626, 0.003720238237529554)","(0.22381225675344468, 0.003132212429728729)","(0.420628956258297, 0.0019502652683246007)"
Random,4 Utah,"(0.5276404228806496, 0.007322571485782698)","(2.1640768347959964, 0.09598781063739127)","(7.766507737636566, 0.1253156076767108)","(0.4853183153271675, 0.004330138912735526)","(0.2631901130080223, 0.003474322647285832)","(0.4010386410355568, 0.0014884148691383689)"
Random,Neuralink,"(0.5233055737614631, 0.006682035181107874)","(3.4478309044241904, 0.0932099806589402)","(9.286039519309998, 0.13097190803288244)","(0.4749008321762085, 0.0036534220404267313)","(0.27360674053430556, 0.0027304064163300797)","(0.46872235864400863, 0.0024319413719801476)"
Random,Uniform 1024,"(0.5545852741599083, 0.002603294203376284)","(6.610230270624161, 0.09290998289852484)","(6.233692374229431, 0.12203618415529946)","(0.4481391617655754, 0.002454491406424206)","(0.2969464936852455, 0.0015975958400716213)","(0.5694860345125199, 0.003133299023218822)"
Random,Utah RFs,"(0.5297418037056922, 0.0075216856721730075)","(3.027383648008108, 0.10067128709997598)","(6.285863891839981, 0.13949029067805457)","(0.49002218037843703, 0.004656610112634157)","(0.2653291708230972, 0.0035989875860502826)","(0.386202801913023, 0.0013210025643332485)"
